GCF_000006645_00001 mioC
GCF_000006645_00362 wecD
GCF_000006645_00363 wecE
GCF_000006645_00364 wzxE
GCF_000006645_00365 wecF
GCF_000006645_00366 wzyE
GCF_000006645_00367 wecG
GCF_000006645_00368 yifK
GCF_000006645_00374 hemY
GCF_000006645_00375 hemX
GCF_000006645_00376 hemD
GCF_000006645_00377 hemC
GCF_000006645_00378 cyaA
GCF_000006645_00379 cyaY
GCF_000006645_00380 group_4238
GCF_000006645_00381 dapF
GCF_000006645_00382 group_8115
GCF_000006645_00383 xerC_1
GCF_000006645_00384 yigB
GCF_000006645_00385 uvrD
GCF_000006645_00386 group_516
GCF_000006645_00387 group_192
GCF_000006645_00388 group_9013
GCF_000006645_00389 corA
GCF_000006645_00390 rarD
GCF_000006645_00391 group_8176
GCF_000006645_00392 pldA
GCF_000006645_00393 recQ
GCF_000006645_00394 rhtC_2
GCF_000006645_00395 rhtB
GCF_000006645_00396 pldB
GCF_000006645_00397 yigL
GCF_000006645_00398 group_983
GCF_000006645_00399 glpQ
GCF_000006645_00400 glpA
GCF_000006645_00401 glpB
GCF_000006645_00402 glpC
GCF_000006645_00403 group_2076
GCF_000006645_00404 yhhQ
GCF_000006645_00405 tusA
GCF_000006645_00406 zntA
GCF_000006645_00407 group_2081
GCF_000006645_00408 group_8305
GCF_000006645_00409 group_8274
GCF_000006645_00410 group_8276
GCF_000006645_00411 rsmD
GCF_000006645_00412 ftsY
GCF_000006645_00413 ftsE_2
GCF_000006645_00414 ftsX
GCF_000006645_00415 rpoH
GCF_000006645_00417 panM
GCF_000006645_00418 livK
GCF_000006645_00419 livH
GCF_000006645_00420 group_2084
GCF_000006645_00421 lptB_1
GCF_000006645_00422 livF_3
GCF_000006645_00423 group_5879
GCF_000006645_00424 group_877
GCF_000006645_00425 group_9931
GCF_000006645_00426 group_3179
GCF_000006645_00427 group_3180
GCF_000006645_00428 group_3055
GCF_000006645_00429 group_3181
GCF_000006645_00430 ugpB
GCF_000006645_00431 ugpA
GCF_000006645_00432 araQ_1
GCF_000006645_00433 ugpC_1
GCF_000006645_00434 ugpQ
GCF_000006645_00435 group_3182
GCF_000006645_00436 bioP
GCF_000006645_00437 metR
GCF_000006645_00438 metE
GCF_000006645_00439 group_9841
GCF_000006645_00440 udp
GCF_000006645_00441 group_2091
GCF_000006645_00442 cstA_2
GCF_000006645_00443 yabI_2
GCF_000006645_00444 group_9148
GCF_000006645_00445 ubiE
GCF_000006645_00446 ubiJ_1
GCF_000006645_00447 ubiB
GCF_000006645_00448 tatA_2
GCF_000006645_00449 tatB
GCF_000006645_00450 tatC
GCF_000006645_00451 tatD_1
GCF_000006645_00453 group_8660
GCF_000006645_00454 tatD
GCF_000006645_00455 hemB
GCF_000006645_00456 rfaH
GCF_000006645_00457 ubiD
GCF_000006645_00458 fre
GCF_000006645_00459 fadA
GCF_000006645_00460 fadB
GCF_000006645_00461 pepQ
GCF_000006645_00462 yigZ
GCF_000006645_00464 yigZ_1
GCF_000006645_00465 trkH
GCF_000006645_00466 hemG
GCF_000006645_00472 murB
GCF_000006645_00473 birA
GCF_000006645_00474 coaA
GCF_000006645_00475 ttr
GCF_000006645_00482 tufB_2
GCF_000006645_00483 secE
GCF_000006645_00484 nusG
GCF_000006645_00485 rplK
GCF_000006645_00486 rplA
GCF_000006645_00487 rplJ
GCF_000006645_00488 rplL
GCF_000006645_00489 group_4240
GCF_000006645_00490 rpoB
GCF_000006645_00491 rpoC
GCF_000006645_00492 group_9003
GCF_000006645_00493 thiH
GCF_000006645_00494 thiG
GCF_000006645_00495 thiS
GCF_000006645_00496 thiF
GCF_000006645_00497 thiE
GCF_000006645_00498 thiC
GCF_000006645_00499 rsd
GCF_000006645_00500 nudC
GCF_000006645_00501 group_3189
GCF_000006645_00502 hemE
GCF_000006645_00503 nfi
GCF_000006645_00504 group_9241
GCF_000006645_00505 hupA
GCF_000006645_00506 group_9082
GCF_000006645_00507 purD
GCF_000006645_00508 purH
GCF_000006645_00509 group_8865
GCF_000006645_00514 group_8639
GCF_000006645_00515 group_794
GCF_000006645_00516 group_353
GCF_000006645_00517 group_8665
GCF_000006645_00518 group_8586
GCF_000006645_00519 group_2105
GCF_000006645_00520 actP
GCF_000006645_00521 yjcH
GCF_000006645_00522 acs
GCF_000006645_00523 gltP
GCF_000006645_00524 nreC
GCF_000006645_00525 rcsC_1
GCF_000006645_00526 sctC_2
GCF_000006645_00527 group_3737
GCF_000006645_00528 group_3191
GCF_000006645_00529 rhaS_3
GCF_000006645_00530 group_3193
GCF_000006645_00531 group_4246
GCF_000006645_00532 group_4247
GCF_000006645_00533 yscJ
GCF_000006645_00534 group_1551
GCF_000006645_00535 group_3194
GCF_000006645_00536 group_3195
GCF_000006645_00537 ssaV
GCF_000006645_00538 ssaN
GCF_000006645_00539 group_3196
GCF_000006645_00540 group_4248
GCF_000006645_00541 group_3197
GCF_000006645_00542 spaP_1
GCF_000006645_00543 spaQ_1
GCF_000006645_00544 group_4250
GCF_000006645_00545 yscU_1
GCF_000006645_00546 group_1552
GCF_000006645_00547 yedF
GCF_000006645_00548 group_4252
GCF_000006645_00549 yhjV
GCF_000006645_00550 metC_2
GCF_000006645_00551 hmuV
GCF_000006645_00552 hmuU_1
GCF_000006645_00553 hmuT
GCF_000006645_00554 hemS
GCF_000006645_00555 hemR
GCF_000006645_00556 yhfK
GCF_000006645_00557 hutX
GCF_000006645_00558 chuW
GCF_000006645_00559 metF_1
GCF_000006645_00560 group_3201
GCF_000006645_00561 group_4259
GCF_000006645_00562 stiP
GCF_000006645_00563 group_9413
GCF_000006645_00564 group_9593
GCF_000006645_00565 group_4114
GCF_000006645_00566 yceC_2
GCF_000006645_00567 group_1192
GCF_000006645_00568 group_1195
GCF_000006645_00569 alx
GCF_000006645_00570 yceD_3
GCF_000006645_00571 yceD_2
GCF_000006645_00572 group_8021
GCF_000006645_00573 htrE_1
GCF_000006645_00574 group_8000
GCF_000006645_00575 yihN_2
GCF_000006645_00576 group_9259
GCF_000006645_00577 group_9267
GCF_000006645_00578 bmaC
GCF_000006645_00579 ubiC
GCF_000006645_00580 ubiA
GCF_000006645_00581 plsB
GCF_000006645_00582 dgkA
GCF_000006645_00583 lexA_2
GCF_000006645_00584 zur
GCF_000006645_00585 dusA
GCF_000006645_00586 pspG
GCF_000006645_00587 qorA
GCF_000006645_00588 dnaB
GCF_000006645_00589 alr
GCF_000006645_00590 tyrB
GCF_000006645_00591 yjbR
GCF_000006645_00592 uvrA
GCF_000006645_00593 ssb
GCF_000006645_00594 rhaM
GCF_000006645_00595 adhB
GCF_000006645_00596 rhaD
GCF_000006645_00597 rhaA
GCF_000006645_00598 rhaB
GCF_000006645_00599 group_4261
GCF_000006645_00600 group_8086
GCF_000006645_00601 rhaS_2
GCF_000006645_00602 rhaR_2
GCF_000006645_00603 rhaT
GCF_000006645_00604 group_6168
GCF_000006645_00605 subB
GCF_000006645_00606 group_3208
GCF_000006645_00608 group_8192
GCF_000006645_00609 group_9544
GCF_000006645_00610 hyfA
GCF_000006645_00611 fdhF
GCF_000006645_00612 dsbD
GCF_000006645_00613 cutA
GCF_000006645_00614 dcuA
GCF_000006645_00615 aspA
GCF_000006645_00616 group_1558
GCF_000006645_00617 groS
GCF_000006645_00618 groL
GCF_000006645_00619 group_9578
GCF_000006645_00620 epmB
GCF_000006645_00621 efp
GCF_000006645_00622 mdtJ_2
GCF_000006645_00623 frdD
GCF_000006645_00624 frdC
GCF_000006645_00625 frdB
GCF_000006645_00626 frdA
GCF_000006645_00627 epmA
GCF_000006645_00628 mscM
GCF_000006645_00629 psd
GCF_000006645_00630 rsgA
GCF_000006645_00631 orn
GCF_000006645_00634 queG
GCF_000006645_00635 nnr
GCF_000006645_00636 tsaE
GCF_000006645_00637 group_3006
GCF_000006645_00638 mutL
GCF_000006645_00639 miaA
GCF_000006645_00640 hfq
GCF_000006645_00641 hflX
GCF_000006645_00642 hflK
GCF_000006645_00643 hflC
GCF_000006645_00644 group_3212
GCF_000006645_00645 purA
GCF_000006645_00646 nsrR
GCF_000006645_00647 rnr
GCF_000006645_00648 rlmB
GCF_000006645_00649 aidB
GCF_000006645_00650 bsmA
GCF_000006645_00651 group_1566
GCF_000006645_00654 group_1567
GCF_000006645_00655 group_4263
GCF_000006645_00656 rpsF
GCF_000006645_00657 rpsR
GCF_000006645_00658 rplI
GCF_000006645_00660 group_9878
GCF_000006645_00661 group_879
GCF_000006645_00662 fklB
GCF_000006645_00663 ytfE
GCF_000006645_00664 cpdB
GCF_000006645_00665 cysQ
GCF_000006645_00666 ytfJ
GCF_000006645_00667 group_3214
GCF_000006645_00668 group_2120
GCF_000006645_00669 msrA
GCF_000006645_00670 tamA
GCF_000006645_00671 tamB
GCF_000006645_00672 ytfP
GCF_000006645_00673 ppa
GCF_000006645_00674 fbp
GCF_000006645_00675 mpl
GCF_000006645_00676 bhsA_1
GCF_000006645_00677 argR
GCF_000006645_00678 mdh
GCF_000006645_00679 group_9859
GCF_000006645_00680 group_3215
GCF_000006645_00681 ispB
GCF_000006645_00682 rplU
GCF_000006645_00683 rpmA
GCF_000006645_00684 yhbE
GCF_000006645_00685 obgE
GCF_000006645_00686 basS
GCF_000006645_00687 basR
GCF_000006645_00688 dacB
GCF_000006645_00689 greA
GCF_000006645_00690 yhbY
GCF_000006645_00691 rlmE
GCF_000006645_00692 ftsH
GCF_000006645_00693 folP
GCF_000006645_00694 glmM
GCF_000006645_00695 secG
GCF_000006645_00698 rimP
GCF_000006645_00699 nusA
GCF_000006645_00700 infB
GCF_000006645_00701 rbfA
GCF_000006645_00702 truB
GCF_000006645_00703 rpsO
GCF_000006645_00704 group_9105
GCF_000006645_00705 group_8423
GCF_000006645_00706 pnp
GCF_000006645_00707 nlpI
GCF_000006645_00708 deaD
GCF_000006645_00709 group_3220
GCF_000006645_00710 group_4264
GCF_000006645_00711 group_614
GCF_000006645_00712 group_1198
GCF_000006645_00713 ttgA
GCF_000006645_00714 group_9486
GCF_000006645_00715 oprM
GCF_000006645_00716 group_9341
GCF_000006645_00717 yhbU
GCF_000006645_00718 ubiJ_2
GCF_000006645_00719 group_9776
GCF_000006645_00720 group_1570
GCF_000006645_00721 group_9746
GCF_000006645_00722 group_9858
GCF_000006645_00723 group_2125
GCF_000006645_00724 melD
GCF_000006645_00725 araQ_3
GCF_000006645_00726 ugpC_3
GCF_000006645_00727 group_8309
GCF_000006645_00728 group_9736
GCF_000006645_00729 group_9230
GCF_000006645_00730 phnP
GCF_000006645_00731 phnN
GCF_000006645_00732 phnM
GCF_000006645_00733 phnL
GCF_000006645_00734 phnK
GCF_000006645_00735 phnJ
GCF_000006645_00736 phnI
GCF_000006645_00737 phnH
GCF_000006645_00738 phnG
GCF_000006645_00739 phnF
GCF_000006645_00740 group_2128
GCF_000006645_00741 nrdG
GCF_000006645_00742 nrdD
GCF_000006645_00743 gsiA_2
GCF_000006645_00744 dppD_2
GCF_000006645_00745 ddpC
GCF_000006645_00746 ddpB
GCF_000006645_00747 ddpA
GCF_000006645_00748 group_1574
GCF_000006645_00749 tabA_2
GCF_000006645_00750 argI
GCF_000006645_00751 rraB
GCF_000006645_00752 group_9689
GCF_000006645_00753 valS
GCF_000006645_00754 holC
GCF_000006645_00755 pepA
GCF_000006645_00756 lptF
GCF_000006645_00757 lptG
GCF_000006645_00759 intA_1
GCF_000006645_00760 group_1576
GCF_000006645_00761 group_3227
GCF_000006645_00764 group_8977
GCF_000006645_00765 yacG
GCF_000006645_00766 zapD
GCF_000006645_00767 coaE
GCF_000006645_00768 guaC
GCF_000006645_00769 epsF
GCF_000006645_00770 group_9209
GCF_000006645_00771 pilE1
GCF_000006645_00772 nadC
GCF_000006645_00773 ampD
GCF_000006645_00774 ampE
GCF_000006645_00775 group_2135
GCF_000006645_00776 pdhR
GCF_000006645_00777 aceE
GCF_000006645_00778 aceF
GCF_000006645_00779 lpdA
GCF_000006645_00781 acnB
GCF_000006645_00782 group_8175
GCF_000006645_00783 yddG
GCF_000006645_00784 speD
GCF_000006645_00785 speE
GCF_000006645_00786 group_3230
GCF_000006645_00787 cueO
GCF_000006645_00788 hpt
GCF_000006645_00789 group_8461
GCF_000006645_00790 yadG
GCF_000006645_00791 yadH
GCF_000006645_00792 group_2141
GCF_000006645_00793 group_2142
GCF_000006645_00794 panD
GCF_000006645_00795 panC
GCF_000006645_00796 panB
GCF_000006645_00797 folK
GCF_000006645_00798 pcnB
GCF_000006645_00799 gluQ
GCF_000006645_00800 dksA
GCF_000006645_00801 sfsA
GCF_000006645_00802 thpR
GCF_000006645_00803 hrpB
GCF_000006645_00804 mrcB
GCF_000006645_00805 fhuC_2
GCF_000006645_00806 fhuD
GCF_000006645_00807 fhuB
GCF_000006645_00808 hemL
GCF_000006645_00809 clcA
GCF_000006645_00810 erpA
GCF_000006645_00811 group_2145
GCF_000006645_00812 btuF_2
GCF_000006645_00813 mtnN
GCF_000006645_00814 dgt
GCF_000006645_00815 degP
GCF_000006645_00816 barA
GCF_000006645_00817 relA
GCF_000006645_00818 mazG
GCF_000006645_00819 pyrG
GCF_000006645_00820 eno
GCF_000006645_00821 sodC1
GCF_000006645_00822 queE
GCF_000006645_00823 queD
GCF_000006645_00824 cysJ
GCF_000006645_00825 cysI
GCF_000006645_00826 cysH_2
GCF_000006645_00827 group_1585
GCF_000006645_00828 group_8241
GCF_000006645_00829 group_7997
GCF_000006645_00830 group_3232
GCF_000006645_00831 group_996
GCF_000006645_00832 cysG_2
GCF_000006645_00833 cysD
GCF_000006645_00834 cysN
GCF_000006645_00835 cysC
GCF_000006645_00836 ygbE
GCF_000006645_00837 ftsB
GCF_000006645_00838 ispD
GCF_000006645_00839 ispF
GCF_000006645_00840 truD
GCF_000006645_00841 surE
GCF_000006645_00842 pcm
GCF_000006645_00843 nlpD
GCF_000006645_00844 rpoS
GCF_000006645_00845 mutS
GCF_000006645_00846 derI
GCF_000006645_00847 eltD_2
GCF_000006645_00848 golD
GCF_000006645_00849 dhaK
GCF_000006645_00850 dhaL-2
GCF_000006645_00851 sorC
GCF_000006645_00852 arsB
GCF_000006645_00853 group_3234
GCF_000006645_00854 group_8312
GCF_000006645_00855 group_4266
GCF_000006645_00856 pheC
GCF_000006645_00857 group_1592
GCF_000006645_00858 group_1594
GCF_000006645_00859 group_2154
GCF_000006645_00860 group_4267
GCF_000006645_00861 map_1
GCF_000006645_00862 group_8324
GCF_000006645_00863 fumA
GCF_000006645_00864 lyx
GCF_000006645_00865 ulaE
GCF_000006645_00866 lsrD_1
GCF_000006645_00867 group_9153
GCF_000006645_00868 rbsA_1
GCF_000006645_00870 group_2156
GCF_000006645_00871 srlR_1
GCF_000006645_00872 araD_2
GCF_000006645_00873 dmsA
GCF_000006645_00874 dmsB_1
GCF_000006645_00875 dmsC_1
GCF_000006645_00876 dmsD_1
GCF_000006645_00877 cybB
GCF_000006645_00878 cybC_1
GCF_000006645_00879 katG
GCF_000006645_00880 rbsB_1
GCF_000006645_00881 group_8219
GCF_000006645_00882 mglA_1
GCF_000006645_00883 rbsC_2
GCF_000006645_00884 aptA
GCF_000006645_00885 aptB
GCF_000006645_00886 aplK
GCF_000006645_00887 group_8884
GCF_000006645_00888 deoR_1
GCF_000006645_00889 ycaD_1
GCF_000006645_00890 pncC_2
GCF_000006645_00891 recA_1
GCF_000006645_00892 recX
GCF_000006645_00893 alaS
GCF_000006645_00894 csrA
GCF_000006645_00899 yqaB
GCF_000006645_00900 yqaA
GCF_000006645_00901 gshA
GCF_000006645_00902 luxS
GCF_000006645_00903 group_9000
GCF_000006645_00904 group_1210
GCF_000006645_00905 ypjD
GCF_000006645_00906 ffh
GCF_000006645_00907 rpsP
GCF_000006645_00908 rimM
GCF_000006645_00909 trmD
GCF_000006645_00910 rplS
GCF_000006645_00911 group_9002
GCF_000006645_00912 group_3244
GCF_000006645_00913 dcuB_1
GCF_000006645_00914 dcuB_2
GCF_000006645_00915 group_1221
GCF_000006645_00916 btsR
GCF_000006645_00917 aroF
GCF_000006645_00918 tyrA
GCF_000006645_00919 pheA_2
GCF_000006645_00920 group_8675
GCF_000006645_00921 group_8594
GCF_000006645_00922 pheA_1
GCF_000006645_00923 group_8967
GCF_000006645_00924 raiA
GCF_000006645_00925 bamD
GCF_000006645_00926 rluD
GCF_000006645_00927 group_1603
GCF_000006645_00928 clpB
GCF_000006645_00934 group_9566
GCF_000006645_00935 pssA
GCF_000006645_00936 pat
GCF_000006645_00937 group_3245
GCF_000006645_00938 trxC
GCF_000006645_00939 yfiF
GCF_000006645_00940 emrB
GCF_000006645_00941 emrA
GCF_000006645_00942 mprA
GCF_000006645_00943 group_8565
GCF_000006645_00944 ygaZ
GCF_000006645_00945 group_9892
GCF_000006645_00946 group_3246
GCF_000006645_00947 atzE
GCF_000006645_00948 group_9712
GCF_000006645_00949 group_3247
GCF_000006645_00950 fliY_1
GCF_000006645_00951 glnM
GCF_000006645_00952 yecS_1
GCF_000006645_00953 glnQ_1
GCF_000006645_00954 pucG
